Epoch 1/50, Training Loss:2.2128487874916822, Training Accuracy:0.18777818977832794, Validation Loss:2.2675825680197463, Validation Accuracy:0.19985178112983704
Epoch 20/50, Training Loss:2.1431668534005315, Training Accuracy:0.22616839408874512, Validation Loss:2.3254432887899075, Validation Accuracy:0.23044301569461823
Epoch 21/50, Training Loss:2.1386991661450985, Training Accuracy:0.22604475915431976, Validation Loss:2.274490980762738, Validation Accuracy:0.22525528073310852
Epoch 22/50, Training Loss:2.1292761416864443, Training Accuracy:0.2293212115764618, Validation Loss:2.36251734273707, Validation Accuracy:0.23155467212200165
Epoch 23/50, Training Loss:2.123422994870696, Training Accuracy:0.22947576642036438, Validation Loss:2.701612622841545, Validation Accuracy:0.22579051554203033
Epoch 24/50, Training Loss:2.1302620100574137, Training Accuracy:0.22987759113311768, Validation Loss:2.2933610211247983, Validation Accuracy:0.22821968793869019
Epoch 25/50, Training Loss:2.1302382716085506, Training Accuracy:0.23065035045146942, Validation Loss:2.143357298355329, Validation Accuracy:0.23682476580142975
Epoch 26/50, Training Loss:2.11739208595689, Training Accuracy:0.2347922921180725, Validation Loss:2.145921394759016, Validation Accuracy:0.24139493703842163
Epoch 27/50, Training Loss:2.1105339508264165, Training Accuracy:0.24085064232349396, Validation Loss:2.172017303851282, Validation Accuracy:0.24411232769489288
Epoch 28/50, Training Loss:2.1195269233513065, Training Accuracy:0.23627597093582153, Validation Loss:2.2964775413863743, Validation Accuracy:0.23624834418296814
Epoch 29/50, Training Loss:2.105388178257041, Training Accuracy:0.2409742772579193, Validation Loss:2.2519097596760322, Validation Accuracy:0.23773056268692017
Epoch 30/50, Training Loss:2.091350091258331, Training Accuracy:0.24789811670780182, Validation Loss:2.1967878841128745, Validation Accuracy:0.2348073124885559
Epoch 31/50, Training Loss:2.0965173575809755, Training Accuracy:0.24799084663391113, Validation Loss:2.2828191351513616, Validation Accuracy:0.24538865685462952
Epoch 32/50, Training Loss:2.08781826560976, Training Accuracy:0.25061818957328796, Validation Loss:4.647244422096509, Validation Accuracy:0.22080864012241364
Epoch 33/50, Training Loss:2.0876177065332375, Training Accuracy:0.2521328032016754, Validation Loss:2.281234589725615, Validation Accuracy:0.2493412345647812
Epoch 34/50, Training Loss:2.0792129247289974, Training Accuracy:0.2547910511493683, Validation Loss:2.5054617239081343, Validation Accuracy:0.2541584074497223
Epoch 35/50, Training Loss:2.073502945145325, Training Accuracy:0.2590257227420807, Validation Loss:2.286651402358481, Validation Accuracy:0.2547760009765625
Epoch 36/50, Training Loss:2.066775070984215, Training Accuracy:0.25636744499206543, Validation Loss:2.4804308756066877, Validation Accuracy:0.24892951548099518
Epoch 37/50, Training Loss:2.066107884182067, Training Accuracy:0.2619621753692627, Validation Loss:2.1459647002427475, Validation Accuracy:0.2537878453731537
Epoch 38/50, Training Loss:2.069375384101528, Training Accuracy:0.2621476352214813, Validation Loss:4.121951526568341, Validation Accuracy:0.2391716092824936
Epoch 39/50, Training Loss:2.06081424823029, Training Accuracy:0.2654859125614166, Validation Loss:2.4778021194718103, Validation Accuracy:0.25675228238105774
Epoch 40/50, Training Loss:2.0507144519412552, Training Accuracy:0.2673405110836029, Validation Loss:2.114665707345065, Validation Accuracy:0.26399871706962585
Epoch 41/50, Training Loss:2.044470855142667, Training Accuracy:0.27036967873573303, Validation Loss:2.1928197258545947, Validation Accuracy:0.26786887645721436
Epoch 42/50, Training Loss:2.0369122317235853, Training Accuracy:0.2746661603450775, Validation Loss:2.135829129002311, Validation Accuracy:0.2669631242752075
Epoch 43/50, Training Loss:2.0348659176618953, Training Accuracy:0.27290430665016174, Validation Loss:2.207679583385528, Validation Accuracy:0.2757740318775177
Epoch 44/50, Training Loss:2.0249410304070463, Training Accuracy:0.2792099416255951, Validation Loss:2.633802340200296, Validation Accuracy:0.2692275941371918
Epoch 45/50, Training Loss:2.0269555855103936, Training Accuracy:0.27778807282447815, Validation Loss:2.2079368834439004, Validation Accuracy:0.2645339071750641
Epoch 46/50, Training Loss:2.0087535080051326, Training Accuracy:0.28610286116600037, Validation Loss:2.2347572238548943, Validation Accuracy:0.2749094069004059
Epoch 47/50, Training Loss:2.0058876632700806, Training Accuracy:0.28665924072265625, Validation Loss:2.259665076911685, Validation Accuracy:0.2758564054965973
Epoch 48/50, Training Loss:2.0033658902086207, Training Accuracy:0.2920994162559509, Validation Loss:2.3159524129313445, Validation Accuracy:0.2694746255874634
Epoch 49/50, Training Loss:1.9955148673316963, Training Accuracy:0.29104846715927124, Validation Loss:2.1779155771251726, Validation Accuracy:0.2798501253128052
Epoch 50/50, Training Loss:1.9875956773757935, Training Accuracy:0.2958086133003235, Validation Loss:2.2024790950914617, Validation Accuracy:0.2669631242752075
